locus_tag	name	type	description	functional	strand	rbs_start	rbs_stop	start_position	stop_position	tblist_regulon	tblist_operon	tu_id	functional_category
Rv3786c	Rv3786c	CDS	Unknown protein		-			4232374	4233597			TU2476	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3787c	Rv3787c	CDS	Conserved hypothetical protein		-			4233610	4234536			TU2476	conserved hypotheticals	Prediction based on GO and InterPro: lipid metabolism (See Mazandu and Mulder, 2012)
Rv3788	Rv3788	CDS	Hypothetical protein		+			4234780	4235265			TU2477	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3789	Rv3789	CDS	GTRA family protein		+			4235374	4235739			TU2478	cell wall and cell processes
Rv3790	dprE1	CDS	Decaprenylphosphoryl-beta-D-ribose 2'-oxidase		+			4235779	4237164		Rv3790, Rv3791, Rv3792, and Rv3793 are co-transcribed, by Northern blot (See Goude et al., 2008).	TU2478	lipid metabolism
Rv3791	dprE2	CDS	Decaprenylphosphoryl-D-2-keto erythro pentose reductase		+			4237165	4237929		Rv3790, Rv3791, Rv3792, and Rv3793 are co-transcribed, by Northern blot (See Goude et al., 2008).	TU2478	lipid metabolism
Rv3792	aftA	CDS	Arabinofuranosyltransferase AftA		+			4237932	4239863		Rv3790, Rv3791, Rv3792, and Rv3793 are co-transcribed, by Northern blot (See Goude et al., 2008).	TU2478	cell wall and cell processes
Rv3793	embC	CDS	Integral membrane indolylacetylinositol arabinosyltransferase EmbC (arabinosylindolylacetylinositol synthase)		+			4239863	4243147		Rv3790, Rv3791, Rv3792, and Rv3793 are co-transcribed, by Northern blot (See Goude et al., 2008).	TU2478	cell wall and cell processes
Rv3794	embA	CDS	Integral membrane indolylacetylinositol arabinosyltransferase EmbA (arabinosylindolylacetylinositol synthase)		+			4243233	4246517			TU2479	cell wall and cell processes
Rv3795	embB	CDS	Integral membrane indolylacetylinositol arabinosyltransferase EmbB (arabinosylindolylacetylinositol synthase)		+			4246514	4249810			TU2479	cell wall and cell processes
Rv3796	Rv3796	CDS	Conserved protein		+			4249878	4251005			TU2480	conserved hypotheticals
Rv3797	fadE35	CDS	Probable acyl-CoA dehydrogenase FadE35		+	4251073	4251077	4251085	4252866			TU2481	lipid metabolism
Rv3798	Rv3798	CDS	Probable transposase		+			4252993	4254327			TU2482	insertion seqs and phages
Rv3799c	accD4	CDS	Probable propionyl-CoA carboxylase beta chain 4 AccD4 (pccase) (propanoyl-CoA:carbon dioxide ligase)		-	4255958	4255961	4254380	4255948			TU2483	lipid metabolism
Rv3800c	pks13	CDS	Polyketide synthase Pks13		-	4261151	4261154	4255945	4261146			TU2483	lipid metabolism
Rv3801c	fadD32	CDS	Fatty-acid-AMP ligase FadD32 (fatty-acid-AMP synthetase) (fatty-acid-AMP synthase). Also shown to have acyl-ACP ligase activity.		-			4261153	4263066			TU2483	lipid metabolism
Rv3802c	Rv3802c	CDS	Probable conserved membrane protein		-	4264369	4264373	4263355	4264365			TU2484	cell wall and cell processes
Rv3803c	fbpD	CDS	Secreted MPT51/MPB51 antigen protein FbpD (MPT51/MPB51 antigen 85 complex C) (AG58C) (mycolyl transferase 85C) (fibronectin-binding protein C) (85C)		-	4265468	4265474	4264563	4265462			TU2485	lipid metabolism
Rv3804c	fbpA	CDS	Secreted antigen 85-a FbpA (mycolyl transferase 85A) (fibronectin-binding protein A) (antigen 85 complex A)		-	4266666	4266670	4265642	4266658	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU2486	lipid metabolism
Rv3805c	aftB	CDS	Possible arabinofuranosyltransferase AftB		-			4266953	4268836			TU2487	cell wall and cell processes
Rv3806c	ubiA	CDS	Decaprenylphosphoryl-5-phosphoribose (DPPR) synthase (decaprenyl-phosphate 5-phosphoribosyltransferase)		-			4268925	4269833			TU2488	cell wall and cell processes
Rv3807c	Rv3807c	CDS	Possible conserved transmembrane protein		-			4269840	4270337			TU2488	cell wall and cell processes
Rv3808c	glfT2	CDS	Bifunctional UDP-galactofuranosyl transferase GlfT2		-	4272286	4272289	4270366	4272279			TU2488	cell wall and cell processes
Rv3809c	glf	CDS	UDP-galactopyranose mutase Glf (UDP-GALP mutase) (NAD+-flavin adenine dinucleotide-requiring enzyme)		-	4273486	4273489	4272276	4273475			TU2488	cell wall and cell processes
Rv3810	pirG	CDS	Exported repetitive protein precursor PirG (cell surface protein) (EXP53)		+	4273728	4273732	4273739	4274593			TU2489	cell wall and cell processes
Rv3811	Rv3811	CDS	Conserved hypothetical protein		+			4274798	4276417			TU2490	conserved hypotheticals
Rv3812	PE_PGRS62	CDS	PE-PGRS family protein PE_PGRS62		+	4276562	4276565	4276571	4278085			TU2491	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3813c	Rv3813c	CDS	Conserved protein		-			4278394	4279215			TU2492	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3814c	Rv3814c	CDS	Possible acyltransferase		-	4280022	4280026	4279230	4280015			TU2492	intermediary metabolism and respiration
Rv3815c	Rv3815c	CDS	Possible acyltransferase		-	4280798	4280801	4280033	4280788			TU2492	intermediary metabolism and respiration
Rv3816c	Rv3816c	CDS	Possible acyltransferase		-			4280792	4281571			TU2492	intermediary metabolism and respiration
Rv3817	Rv3817	CDS	Possible phosphotransferase		+	4281637	4281641	4281647	4282402			TU2493	intermediary metabolism and respiration
Rv3818	Rv3818	CDS	Unknown protein		+	4282440	4282443	4282449	4283999			TU2494	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3819	Rv3819	CDS	Unknown protein		+			4283996	4284331			TU2494	conserved hypotheticals
Rv3820c	papA2	CDS	Possible conserved polyketide synthase associated protein PapA2		-	4285831	4285836	4284419	4285825			TU2495	lipid metabolism
Rv3821	Rv3821	CDS	Probable conserved integral membrane protein		+			4285973	4286686			TU2496	cell wall and cell processes
Rv3822	Rv3822	CDS	Conserved hypothetical protein		+			4286721	4287935			TU2496	conserved hypotheticals
Rv3823c	mmpL8	CDS	Conserved integral membrane transport protein MmpL8		-	4291540	4291543	4288260	4291529			TU2497	cell wall and cell processes
Rv3824c	papA1	CDS	Conserved polyketide synthase associated protein PapA1		-	4293181	4293185	4291639	4293174	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU2498	lipid metabolism
Rv3825c	pks2	CDS	Polyketide synthase Pks2		-			4293225	4299605	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU2499	lipid metabolism
Rv3826	fadD23	CDS	Probable fatty-acid-AMP ligase FadD23 (fatty-acid-AMP synthetase) (fatty-acid-AMP synthase)		+			4299812	4301566	Predicted to be in the SigE|Rv1221 regulon during macrophage (THP-1) infection (See Fontan et al., 2008).		TU2500	lipid metabolism
Rv3827c	Rv3827c	CDS	Possible transposase		-	4302794	4302798	4301563	4302789			TU2501	insertion seqs and phages
Rv3828c	Rv3828c	CDS	Possible resolvase		-			4302786	4303397			TU2501	insertion seqs and phages
Rv3829c	Rv3829c	CDS	Probable dehydrogenase		-			4303398	4305008			TU2501	intermediary metabolism and respiration
Rv3830c	Rv3830c	CDS	Transcriptional regulatory protein (probably TetR-family)		-			4305056	4305685			TU2502	regulatory proteins
Rv3831	Rv3831	CDS	Hypothetical protein		+			4305757	4306239			TU2503	conserved hypotheticals	Prediction based on GO and InterPro: insertion seqs and phages (See Mazandu and Mulder, 2012)
Rv3832c	Rv3832c	CDS	Conserved protein		-			4306236	4306811			TU2504	conserved hypotheticals
Rv3833	Rv3833	CDS	Transcriptional regulatory protein (probably AraC-family)		+			4306867	4307658			TU2505	regulatory proteins
Rv3834c	serS	CDS	SERYL-tRNA synthetase SerS (serine--tRNA ligase) (SERRS) (serine translase)		-			4307655	4308914			TU2506	information pathways
Rv3835	Rv3835	CDS	Conserved membrane protein		+			4309047	4310396			TU2507	cell wall and cell processes
Rv3836	Rv3836	CDS	Conserved hypothetical protein		+			4310401	4310814			TU2507	conserved hypotheticals
Rv3837c	Rv3837c	CDS	Probable phosphoglycerate mutase (phosphoglyceromutase) (phosphoglycerate phosphomutase)		-			4311009	4311707			TU2508	intermediary metabolism and respiration
Rv3838c	pheA	CDS	Prephenate dehydratase PheA		-			4311704	4312669	Predicted to be in the IdeR|Rv2711 regulon (See Gold et al., 2001; Prakash et al., 2005).		TU2508	intermediary metabolism and respiration
Rv3839	Rv3839	CDS	Conserved hypothetical protein		+			4312765	4313541	Predicted to be in the IdeR|Rv2711 regulon (See Gold et al., 2001; Prakash et al., 2005).		TU2509	conserved hypotheticals	Prediction based on GO and InterPro: intermediary metabolism and respiration (See Mazandu and Mulder, 2012)
Rv3840	Rv3840	CDS	Possible transcriptional regulatory protein		+			4313567	4313980			TU2509	regulatory proteins
Rv3841	bfrB	CDS	Bacterioferritin BfrB		+			4314178	4314723	Predicted to be in the IdeR|Rv2711 regulon (See Gold et al., 2001; Prakash et al., 2005).		TU2510	intermediary metabolism and respiration
Rv3842c	glpQ1	CDS	Probable glycerophosphoryl diester phosphodiesterase GlpQ1 (glycerophosphodiester phosphodiesterase)		-			4314738	4315562			TU2511	intermediary metabolism and respiration
MTB000079	ncrMT3949	ncRNA	Fragment of putative small regulatory RNA		+			4314798	4314891				stable RNAs
Rv3843c	Rv3843c	CDS	Probable conserved transmembrane protein		-			4315568	4316596			TU2511	cell wall and cell processes
MTB000080	MTS2975	ncRNA	Putative small regulatory RNA		+			4317073	4317165				stable RNAs
Rv3844	Rv3844	CDS	Possible transposase		+			4318775	4319266			TU2512	insertion seqs and phages
Rv3845	Rv3845	CDS	Hypothetical protein		+			4319281	4319640			TU2512	conserved hypotheticals
Rv3846	sodA	CDS	Superoxide dismutase [FE] SodA		+			4320704	4321327			TU2513	virulence, detoxification, adaptation
Rv3847	Rv3847	CDS	Hypothetical protein		+			4321538	4322071			TU2514	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3848	Rv3848	CDS	Probable conserved transmembrane protein		+			4322326	4323234			TU2515	cell wall and cell processes
Rv3849	espR	CDS	ESX-1 transcriptional regulatory protein EspR		+			4323499	4323897			TU2516	regulatory proteins
Rv3850	Rv3850	CDS	Conserved protein		+			4324015	4324671			TU2517	conserved hypotheticals	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3851	Rv3851	CDS	Possible membrane protein		+			4324683	4324967			TU2517	cell wall and cell processes
Rv3852	hns	CDS	Possible histone-like protein Hns		+			4325074	4325478			TU2518	information pathways
Rv3853	rraA	CDS	Regulator of RNase E activity a RraA		+			4325495	4325968			TU2518	regulatory proteins
Rv3854c	ethA	CDS	Monooxygenase EthA		-			4326004	4327473			TU2519	intermediary metabolism and respiration
Rv3855	ethR	CDS	Transcriptional regulatory repressor protein (TetR-family) EthR		+			4327549	4328199			TU2520	regulatory proteins
Rv3856c	Rv3856c	CDS	Conserved hypothetical protein		-			4328401	4329408			TU2521	conserved hypotheticals	Prediction based on GO and InterPro: information pathways (See Mazandu and Mulder, 2012)
Rv3857c	Rv3857c	CDS	Possible membrane protein		-			4329417	4329614	ChIP-PCR and EMSA indicate Crp|Rv3676 binds to the intergenic upstream region (See Bai et al., 2007).		TU2521	cell wall and cell processes
Rv3858c	gltD	CDS	Probable NADH-dependent glutamate synthase (small subunit) GltD (L-glutamate synthase) (L-glutamate synthetase) (NADH-glutamate synthase) (glutamate synthase (NADH)) (GLTS beta chain) (NADPH-GOGAT)		-			4330039	4331505			TU2522	intermediary metabolism and respiration
Rv3859c	gltB	CDS	Probable ferredoxin-dependent glutamate synthase [NADPH] (large subunit) GltB (L-glutamate synthase) (L-glutamate synthetase) (NADH-glutamate synthase) (glutamate synthase (NADH))(NADPH-GOGAT)		-			4331498	4336081			TU2522	intermediary metabolism and respiration
Rv3860	Rv3860	CDS	Conserved protein		+			4336777	4337949			TU2523	conserved hypotheticals
Rv3861	Rv3861	CDS	Hypothetical protein		+			4337946	4338272			TU2523	conserved hypotheticals
Rv3862c	whiB6	CDS	Possible transcriptional regulatory protein WhiB-like WhiB6		-			4338171	4338521			TU2524	regulatory proteins
Rv3863	Rv3863	CDS	Unknown alanine rich protein		+			4338849	4340027			TU2525	conserved hypotheticals	Prediction based on GO and InterPro: regulatory proteins (See Mazandu and Mulder, 2012)
Rv3864	espE	CDS	ESX-1 secretion-associated protein EspE		+			4340270	4341478			TU2526	cell wall and cell processes
Rv3865	espF	CDS	ESX-1 secretion-associated protein EspF		+			4341566	4341877			TU2527	cell wall and cell processes
Rv3866	espG1	CDS	ESX-1 secretion-associated protein EspG1		+			4341880	4342731			TU2527	cell wall and cell processes
Rv3867	espH	CDS	ESX-1 secretion-associated protein EspH		+	4342760	4342763	4342770	4343321			TU2527	cell wall and cell processes
Rv3868	eccA1	CDS	ESX conserved component EccA1. ESX-1 type VII secretion system protein.		+	4343307	4343310	4343314	4345035			TU2527	cell wall and cell processes
Rv3869	eccB1	CDS	ESX conserved component EccB1. ESX-1 type VII secretion system protein. Possible membrane protein.		+			4345039	4346481			TU2527	cell wall and cell processes
Rv3870	eccCa1	CDS	ESX conserved component EccCa1. ESX-1 type VII secretion system protein. Possible transmembrane protein.		+	4346470	4346473	4346481	4348724			TU2527	cell wall and cell processes
Rv3871	eccCb1	CDS	ESX conserved component EccCb1. ESX-1 type VII secretion system protein.		+	4348811	4348816	4348827	4350602			TU2528	cell wall and cell processes
Rv3872	PE35	CDS	PE family-related protein PE35		+	4350726	4350730	4350745	4351044			TU2529	PE/PPE
Rv3873	PPE68	CDS	PPE family protein PPE68		+	4351063	4351066	4351075	4352181			TU2529	PE/PPE
Rv3874	esxB	CDS	10 kDa culture filtrate antigen EsxB (LHP) (CFP10)		+			4352274	4352576	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU2530	cell wall and cell processes
Rv3875	esxA	CDS	6 kDa early secretory antigenic target EsxA (ESAT-6)		+	4352598	4352601	4352609	4352896			TU2530	cell wall and cell processes
Rv3876	espI	CDS	ESX-1 secretion-associated protein EspI. Conserved proline and alanine rich protein.		+	4353001	4353005	4353010	4355010			TU2531	cell wall and cell processes
Rv3877	eccD1	CDS	ESX conserved component EccD1. ESX-1 type VII secretion system protein. Probable transmembrane protein.		+	4354992	4354995	4355007	4356542			TU2531	cell wall and cell processes
Rv3878	espJ	CDS	ESX-1 secretion-associated protein EspJ. Conserved alanine rich protein.		+	4356680	4356684	4356693	4357535			TU2532	cell wall and cell processes
Rv3879c	espK	CDS	ESX-1 secretion-associated protein EspK. Alanine and proline rich protein.		-	4359793	4359797	4357593	4359782			TU2533	cell wall and cell processes
Rv3880c	espL	CDS	ESX-1 secretion-associated protein EspL		-	4360552	4360557	4360199	4360546			TU2534	cell wall and cell processes
Rv3881c	espB	CDS	Secreted ESX-1 substrate protein B, EspB. Conserved alanine and glycine rich protein		-	4361936	4361942	4360543	4361925			TU2534	cell wall and cell processes
Rv3882c	eccE1	CDS	ESX conserved component EccE1. ESX-1 type VII secretion system protein. Possible membrane protein.		-			4362032	4363420			TU2535	cell wall and cell processes
Rv3883c	mycP1	CDS	Membrane-anchored mycosin MycP1 (serine protease) (subtilisin-like protease) (subtilase-like) (mycosin-1)		-			4363417	4364757			TU2535	intermediary metabolism and respiration
Rv3884c	eccA2	CDS	ESX conserved component EccA2. ESX-2 type VII secretion system protein. Probable CbxX/CfqX family protein.		-	4364768	4364771	4364979	4366838			TU2536	cell wall and cell processes
Rv3885c	eccE2	CDS	ESX conserved component EccE2. ESX-2 type VII secretion system protein. Possible membrane protein.		-			4366908	4368521			TU2537	cell wall and cell processes
Rv3886c	mycP2	CDS	Probable alanine and proline rich membrane-anchored mycosin MycP2 (serine protease) (subtilisin-like protease) (subtilase-like) (mycosin-2)		-	4368527	4368531	4368518	4370170			TU2537	intermediary metabolism and respiration
Rv3887c	eccD2	CDS	ESX conserved component EccD2. ESX-2 type VII secretion system protein. Probable transmembrane protein.		-			4370155	4371684			TU2537	cell wall and cell processes
Rv3888c	Rv3888c	CDS	Probable conserved membrane protein		-			4371681	4372706	ChIP-chip indicates SigK|Rv0445c binds to the intergenic upstream region (See Rodrigue et al., 2007).		TU2537	cell wall and cell processes
Rv3889c	espG2	CDS	ESX-2 secretion-associated protein EspG2		-			4372800	4373630			TU2538	cell wall and cell processes
Rv3890c	esxC	CDS	ESAT-6 like protein EsxC (ESAT-6 like protein 11)		-	4374021	4374025	4373726	4374013	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU2539	cell wall and cell processes
Rv3891c	esxD	CDS	Possible ESAT-6 like protein EsxD		-	4374381	4374386	4374049	4374372	Predicted to be in the RelA|Rv2583c regulon (See Dahl et al., 2003).		TU2539	cell wall and cell processes
Rv3892c	PPE69	CDS	PPE family protein PPE69		-	4375694	4375697	4374484	4375683			TU2540	PE/PPE
Rv3893c	PE36	CDS	PE family protein PE36		-	4376003	4376007	4375762	4375995			TU2541	PE/PPE	Prediction based on GO and InterPro: cell wall and cell processes (See Mazandu and Mulder, 2012)
Rv3894c	eccC2	CDS	ESX conserved component EccC2. ESX-2 type VII secretion system protein. Possible membrane protein.		-			4376262	4380452			TU2542	cell wall and cell processes
